Model,MAE,RMSE,R2,MAPE_percent
Random Forest Regressor,0.04917778540375048,0.06483320186213343,0.7360278480261475,7.143631219833095
FFNN with Dropout,0.05183957877755165,0.0666381970675354,0.7211249575720264,7.478577558350856
SVR,0.06519165737594339,0.09210897539893802,0.4671964926516545,9.36453540638901
